"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL37AP1",325.875002993742,-2.92036447282398,0.487210702226207,-3.94154821322536,8.09573574315527e-05,0.00613306683461195
"S100A10",1770.01749954028,3.24913805178702,0.457870402205046,4.91217174326066,9.00731009339484e-07,0.00014026383439881
"S100A8",11342.8175628633,2.5442051854143,0.364559887742176,4.2358066187095,2.27732709258108e-05,0.00215169028331622
"S100P",200.311379709458,3.3799208245904,0.622524700120293,3.82301429024505,0.000131830136125291,0.00939457300574212
"SAMD14",2248.71350932532,2.23794167542373,0.288516725585288,4.29071026268038,1.78102562622439e-05,0.00178293386796677
"SAMHD1",192.85876280495,-2.88376445311176,0.469552455247929,-4.01182963065779,6.02499758099028e-05,0.00487155814024493
"SASH3",53.8340423566348,-5.53412000111817,0.885097889667126,-5.12273281187395,3.01138926102629e-07,5.38782389275959e-05
"SEC14L2",358.664238114029,3.79284693585827,0.51673065271157,5.40484084155384,6.4865964983483e-08,1.55845114156031e-05
"SH2D1B",25.333477476094,-6.04880791809293,1.4261504889369,-3.54016491054634,0.000399877078432839,0.0236800447362094
"SHISA4",44.3564268092597,3.33045177602883,0.72498104208146,3.21450029829466,0.00130671779110488,0.0587603738256735
"SLC25A37",645.213093565186,2.22812268282679,0.361767484693575,3.39478459173033,0.000686826158619078,0.0350031585928959
"SLC25A39",796.791605202572,2.03047424550758,0.296823074381224,3.47167836481637,0.000517215611065985,0.0282419874899602
"SLC29A3",20.3552345319829,-5.36995301102732,1.18989865960696,-3.67254217470149,0.000240149501783054,0.0161553372839496
"SMARCE1",513.18513338887,-2.19384702352349,0.385824285477255,-3.09427650995771,0.00197293515124141,0.0813255474842597
"SMIM1",328.910729665162,2.96008669476308,0.395936060558768,4.95051320154293,7.40180358513732e-07,0.00012448353269484
"SMPD1",822.132743768485,2.1350112726701,0.366654132404393,3.09559110987534,0.0019642101791066,0.0813255474842597
"SND1",160.038171645391,3.00226130987023,0.439993251278937,4.55066368415928,5.34769667747669e-06,0.000651721468998573
"SNRNP25",27.427886670451,4.47957697222946,0.872664419094442,3.98730244535487,6.68288106195358e-05,0.00530154215565732
"SPATS2L",162.383575583981,3.32009580007926,0.382974432909156,6.05809579103051,1.37742366281953e-09,4.63310223225979e-07
"SRM",179.865973430335,4.02979324729323,0.504772273707878,6.00229728356005,1.945450775143e-09,6.29203675699134e-07
"SRRD",29.6331982077512,4.71782944021848,1.0150049683982,3.66286821835528,0.000249406863892582,0.016311173235099
"TESK1",73.8888864718331,2.01017041170127,0.332939902604721,3.03409235059634,0.00241260563968799,0.0954784627587494
