"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKR1B1",587.495159267611,1.40041340116142,0.322702391400695,4.33964370416624,1.42713916146072e-05,0.000178318175463941
"AKR1C1",50.5170060665092,2.59870591166047,0.797889017582462,3.25697666516872,0.0011260568956954,0.00664492100765094
"AKR7A2",3914.01866139583,1.63555574591729,0.229266276869324,7.1338697005557,9.75857156319748e-13,9.88672629818404e-11
"AKT1",223.421491465511,1.51696117834946,0.375179730499576,4.04329193458699,5.27059285245479e-05,0.000539177801658057
"AKT1S1",37.6233309755167,1.39794054053591,0.468440677792452,2.9842424170415,0.00284281445655849,0.0139307848282053
"AKT2",118.25982564231,0.924559088682914,0.333704881206545,2.77058904664527,0.00559549980314396,0.0236584195125251
"ALAD",125.442904275352,1.85729245804713,0.563428590545599,3.29641145162444,0.000979284794630139,0.00593285723202077
"ALAS2",405.122011688791,7.34577962255908,0.815578864239398,9.00682931430512,2.12099817598547e-19,6.3698120220935e-17
"ALDH1A2",80.3390598679081,-2.83393052838436,0.45098586333856,-6.28385667658257,3.30275213503776e-10,1.7250212859337e-08
"ALDOA",1474.97851099676,0.735094696442877,0.239865061816547,3.0646176265766,0.00217948450338682,0.0111956537501404
"ALDOC",123.414617236955,1.5589162770868,0.471334538748848,3.30745181803337,0.000941489062563645,0.0057661919352496
"ALG10",122.272457635295,-1.92787186814527,0.584137359442293,-3.30037419620945,0.000965559922891536,0.00587510375658099
"ALG1L2",65.2524806965694,-1.61072437278453,0.586655932681752,-2.74560314326237,0.0060399777974353,0.0250444641511999
"ALG1L6P",42.5781739548318,-3.44746346206333,0.570158855386795,-6.04649639217577,1.48029545791112e-09,6.28676995231039e-08
"ALG3",122.32598494654,1.43898072069509,0.261670899311035,5.499200424976,3.81517287848795e-08,1.09121730391854e-06
"ALKBH3",175.146071407275,2.36082504289028,0.959982841749199,2.45923670738592,0.01392327833996,0.0489263884499472
"ALKBH7",105.744856631935,1.42636546033181,0.453274055347494,3.14680587495419,0.00165064511953928,0.00893970721452404
"ALS2",32.2209127959483,-2.6404097194715,0.945658492165047,-2.79213874918671,0.00523608983658735,0.0226663989437494
"AMD1",12937.8247139761,-1.0076426228869,0.304146709426452,-3.31301504062652,0.000922960163359634,0.00567493131892471
"AMFR",4954.69229061598,0.982146263509208,0.324655214447244,3.02519787085941,0.00248470512944804,0.0124814130427291
"AMIGO2",1910.98993133383,-0.738153643588959,0.252193034566328,-2.9269390602254,0.00342315947568437,0.0160312017661779
"AMN1",799.689727059953,0.833005376258042,0.290449690888936,2.86798506725412,0.0041309503007082,0.0186959962748414
"AMZ2P1",542.58342033321,-0.726112055323231,0.288865825195639,-2.5136654875372,0.0119483705707477,0.0431774164716019
"ANAPC11",1537.48592549462,1.2456262726751,0.200855169655398,6.20161420197539,5.58869433028479e-10,2.73228666414911e-08
"ANAPC13",546.017816328286,-0.969415142020047,0.362210660555753,-2.67638489859089,0.00744211233861217,0.0295610404607415
"ANAPC16",863.565858374735,0.631254795578357,0.248939996334861,2.53577088805459,0.0112200113775197,0.0410213372493752
"ANAPC5",13184.0136639161,-0.503256806128553,0.171407023537497,-2.93603375020663,0.00332438151110321,0.015713729132584
"ANGEL2",90.55473103489,-0.949229695715721,0.344532564814108,-2.75512329648106,0.00586700216378109,0.0245695324677466
"ANGPT1",1826.45109913837,-1.30929015107457,0.271250826534948,-4.82686142490292,1.38701561181957e-06,2.44004482840811e-05
"ANGPT4",32.1374864722424,-1.88250935419621,0.578919254113352,-3.25176497554806,0.00114690815133795,0.00672080184292743
"ANK1",3226.2002527421,0.774158152113639,0.224075199506299,3.45490332629104,0.00055049016870644,0.00370919217039459
"ANKDD1B",1647.64115142018,-2.93199865424906,0.454180755800589,-6.45557658884247,1.07807640548783e-10,6.66584153951999e-09
"ANKIB1",129.798076194005,0.847732143665557,0.31921724725728,2.65565896250684,0.00791536179410544,0.0310884060376612
"ANKRD10",2171.729249996,-1.22896861521742,0.225968608560361,-5.43866965879528,5.36798781435888e-08,1.47033907266918e-06
"ANKRD18DP",96.7996664155816,-1.42817624804996,0.478224608305868,-2.98641312731551,0.00282271025240031,0.0138645855796929
"ANKRD28",12700.032248248,-0.99426533652096,0.21589474637003,-4.60532436864792,4.11823432314265e-06,6.20613484288648e-05
"ANKRD40",74.7925519283314,1.47365983485657,0.418280048922198,3.52314158577207,0.000426463472010194,0.00300712011010401
"ANO10",116.260728061819,0.953837327418352,0.342568413065477,2.78437033608244,0.00536317598278258,0.0229979331153589
"ANXA3",8159.99466805169,-2.04342562172488,0.606196552220059,-3.37089614621082,0.00074924097183931,0.00476218241284713
"ANXA5",1116.91311307178,1.33232773216206,0.450806749080648,2.9554298707354,0.00312233672422905,0.014909556793891
"AP001189.4",83.8549872433503,-1.17897141408241,0.370408314227151,-3.18289673530225,0.00145809606491757,0.008077160612577
"AP1B1",2204.00509256144,1.79222481259395,0.226608235095208,7.90891298297681,2.59646013858511e-15,4.19877563564658e-13
"AP1G1",828.896893351313,-1.68480180444117,0.367836900112726,-4.58029578849988,4.64318787092532e-06,6.78375885150354e-05
"AP1G2",42.8087970119813,-1.90188640999132,0.742138426521605,-2.56271113585297,0.010385841812339,0.0386943362565583
"AP1M1",406.998957712043,0.850905956455575,0.266409733634786,3.19397472774797,0.0014032840145814,0.00785110796980374
"AP2B1",2295.05379616088,0.582954986443166,0.228946587386602,2.54624885698244,0.0108887531690631,0.0400891091938053
"AP2M1",20171.786334352,0.432709234678982,0.145122572901153,2.98168111292866,0.00286670427084006,0.0139826660171079
"AP2S1",2071.61243740076,0.830244157584822,0.215593002541993,3.8509791495812,0.000117646515844135,0.00106033178106466
"AP4E1",38.7993245269791,-2.39547749187712,0.768186646393859,-3.11835346672887,0.00181864550520464,0.0096546654376678
"AP5M1",791.072099472679,-1.01642114048989,0.252922745007222,-4.01870199716861,5.85196280176746e-05,0.000589331200000749
"APCDD1",549.033732862951,-1.51553818456956,0.295797021724876,-5.12357486134253,2.99796537160591e-07,6.35009844076426e-06
"APEX1",389.503146560859,0.805136104441724,0.304404255187147,2.64495679913124,0.00817013471683673,0.0318953866452554
"APLP2",311.520102633776,1.49812525373673,0.372270725302116,4.02428972227383,5.7147529357789e-05,0.000578283482995966
"APMAP",324.4794626759,1.17131523044907,0.336208656906901,3.48389372607207,0.000494175669588487,0.0034033769087384
"APPL1",619.789447574867,-0.774723665368402,0.286374825357186,-2.70527852579959,0.00682471401718066,0.0275379175482112
"APRT",235.901785780849,1.37168520356851,0.422793102159992,3.24434149128913,0.00117722517750339,0.00685071731323599
"ARF3",3233.39636687805,0.674080117813282,0.169548311475706,3.97574067206131,7.01605481169334e-05,0.000690035145164085
"ARF6",489.588953274555,-0.990679821986095,0.326391584522624,-3.03524928020142,0.00240336953238816,0.0121600086629675
"ARHGAP1",827.758399286626,1.13635309070453,0.191401324867241,5.93701789416934,2.90252998631489e-09,1.12476380898258e-07
"ARHGAP17",216.213713102802,1.11901114387374,0.320753807736862,3.48869169089257,0.000485390649283542,0.00334835928615693
"ARHGAP25",166.858370314463,-1.20548708391267,0.390871163037923,-3.08410340262352,0.00204166620897952,0.0106305703723274
"ARHGAP5",1064.2987030315,-1.7411518556623,0.257491339159024,-6.76198221403858,1.36116417250249e-11,1.04054813877941e-09
"ARHGAP9",39.6661272130134,-2.3831338554336,0.870502605783614,-2.73765275324861,0.00618793753173893,0.0254945451760866
